team,year,payroll
ARI,1999,68303999
ARI,2000,80812833
ARI,2001,76855499
ARI,2002,102819999
ARI,2003,80657000
ARI,2004,69450750
ARI,2005,62011166
ARI,2006,59984226
ARI,2007,52067546
ARI,2008,66202712
ARI,2009,75920666
ARI,2010,52868166
ARI,2011,53639833
ARI,2012,67069833
ARI,2013,87475000
ARI,2014,89300000
ARI,2015,68600000
ARI,2016,65375000
ARI,2017,36375000
ARI,2018,11100000
ARI,2019,14500000
ARI,2020,0
ARI,2021,0
ARI,2022,0
ARI,2023,0
ARI,2024,0
ATL,1999,64836000
ATL,2000,75817836
ATL,2001,91291666
ATL,2002,90960367
ATL,2003,103243667
ATL,2004,90182500
ATL,2005,86457302
ATL,2006,74967333
ATL,2007,71655833
ATL,2008,101975683
ATL,2009,97788166
ATL,2010,84021166
ATL,2011,87188132
ATL,2012,85728000
ATL,2013,86013750
ATL,2014,43800000
ATL,2015,41950000
ATL,2016,15450000
ATL,2017,16450000
ATL,2018,0
ATL,2019,0
ATL,2020,0
ATL,2021,0
ATL,2022,0
ATL,2023,0
ATL,2024,0
BAL,1999,80805863
BAL,2000,82147435
BAL,2001,55345500
BAL,2002,47704697
BAL,2003,53547500
BAL,2004,43623333
BAL,2005,73275833
BAL,2006,71646082
BAL,2007,85650252
BAL,2008,59804580
BAL,2009,69504166
BAL,2010,81612500
BAL,2011,84604038
BAL,2012,75904000
BAL,2013,80600000
BAL,2014,49717000
BAL,2015,40745000
BAL,2016,16000000
BAL,2017,16000000
BAL,2018,17000000
BAL,2019,0
BAL,2020,0
BAL,2021,0
BAL,2022,0
BAL,2023,0
BAL,2024,0
BOS,1999,63897500
BOS,2000,71312833
BOS,2001,109833333
BOS,2002,107311060
BOS,2003,99646500
BOS,2004,126694000
BOS,2005,123505125
BOS,2006,119374824
BOS,2007,133526214
BOS,2008,125390035
BOS,2009,125009499
BOS,2010,161347333
BOS,2011,166662475
BOS,2012,89136000
BOS,2013,107381500
BOS,2014,118125000
BOS,2015,57000000
BOS,2016,26000000
BOS,2017,28500000
BOS,2018,16000000
BOS,2019,15000000
BOS,2020,13000000
BOS,2021,12000000
BOS,2022,0
BOS,2023,0
BOS,2024,0
CHC,1999,61388000
CHC,2000,60069333
CHC,2001,64715833
CHC,2002,75487333
CHC,2003,79258333
CHC,2004,90560000
CHC,2005,87032933
CHC,2006,90391166
CHC,2007,99287332
CHC,2008,120345833
CHC,2009,139652000
CHC,2010,145784002
CHC,2011,125047329
CHC,2012,79937700
CHC,2013,94103000
CHC,2014,35250000
CHC,2015,29500000
CHC,2016,25000000
CHC,2017,16000000
CHC,2018,17000000
CHC,2019,22000000
CHC,2020,30500000
CHC,2021,14500000
CHC,2022,0
CHC,2023,0
CHC,2024,0
CHW,1999,24970000
CHW,2000,31308500
CHW,2001,63703667
CHW,2002,57052833
CHW,2003,51010000
CHW,2004,65212500
CHW,2005,74860000
CHW,2006,102750667
CHW,2007,108671833
CHW,2008,120796832
CHW,2009,100081000
CHW,2010,107195000
CHW,2011,127789000
CHW,2012,118208000
CHW,2013,116063500
CHW,2014,50250000
CHW,2015,34750000
CHW,2016,33400000
CHW,2017,12000000
CHW,2018,12500000
CHW,2019,13500000
CHW,2020,0
CHW,2021,0
CHW,2022,0
CHW,2023,0
CHW,2024,0
CIN,1999,33550761
CIN,2000,46567200
CIN,2001,48776000
CIN,2002,44269890
CIN,2003,58965667
CIN,2004,46315250
CIN,2005,61552583
CIN,2006,56819519
CIN,2007,68142480
CIN,2008,69100195
CIN,2009,78159000
CIN,2010,71455542
CIN,2011,76547134
CIN,2012,70579500
CIN,2013,97010000
CIN,2014,76600000
CIN,2015,81500000
CIN,2016,54500000
CIN,2017,49000000
CIN,2018,25000000
CIN,2019,25000000
CIN,2020,25000000
CIN,2021,25000000
CIN,2022,25000000
CIN,2023,25000000
CIN,2024,20000000
CLE,1999,73479962
CLE,2000,76767271
CLE,2001,92527001
CLE,2002,76903949
CLE,2003,39984834
CLE,2004,33700800
CLE,2005,41186000
CLE,2006,56031500
CLE,2007,60902167
CLE,2008,78970066
CLE,2009,75224866
CLE,2010,60778966
CLE,2011,48776566
CLE,2012,70672800
CLE,2013,60770333
CLE,2014,64933333
CLE,2015,40500000
CLE,2016,40250000
CLE,2017,38000000
CLE,2018,0
CLE,2019,0
CLE,2020,0
CLE,2021,0
CLE,2022,0
CLE,2023,0
CLE,2024,0
COL,1999,58935837
COL,2000,60811190
COL,2001,70916334
COL,2002,55201043
COL,2003,67179667
COL,2004,56445167
COL,2005,47839000
COL,2006,40232000
COL,2007,53541000
COL,2008,68655500
COL,2009,72835200
COL,2010,84674000
COL,2011,88148071
COL,2012,75005000
COL,2013,72780500
